ID       DLC Data                    Period Count  Comment
400      8   00 00 08 00 39 00 00 00 37226  392    
401      8   99 D2 00 00 00 00 00 00 37274  392    
402      8   64 00 00 00 FF 60 10 00 3184   13     
403      8   64 00 00 00 FF 60 10 00 3184   13     
404      8   00 05 A1 00 FF FF FF FF 3183   13     
410      8   53 37 33 2D 32 32 30 33 4256   9      
411      8   30 34 30 31 32 39 52 53 4257   9      
412      8   00 00 00 00 00 00 00 00 4255   9      
423      8   88 DD 88 DD 88 DD 88 DD 0      1      
466      8   30 32 30 35 56 35 30 31 2124   19     

